seed	classification	layout_id	rank_cells	count	total	frequency
0	straight	mask_127d	0,2,3,4,5,6,9,12	641	18815065	3.4068444621371228e-05
0	straight	mask_127e	1,2,3,4,5,6,9,12	3149	18815065	0.0001673658847311981
0	straight	mask_129f	0,1,2,3,4,7,9,12	2953	18815065	0.00015694870041639506
0	straight	mask_12af	0,1,2,3,5,7,9,12	8180	18815065	0.00043475799844433169
0	straight	mask_12b7	0,1,2,4,5,7,9,12	813	18815065	4.3210055346606565e-05
0	straight	mask_12bb	0,1,3,4,5,7,9,12	5	18815065	2.657444978266086e-07
0	straight	mask_12bd	0,2,3,4,5,7,9,12	31	18815065	1.6476158865249734e-06
0	straight	mask_12be	1,2,3,4,5,7,9,12	120	18815065	6.3778679478386069e-06
0	straight	mask_12cf	0,1,2,3,6,7,9,12	7838	18815065	0.00041658107479299169
0	straight	mask_12d7	0,1,2,4,6,7,9,12	114	18815065	6.058974550446677e-06
0	straight	mask_12db	0,1,3,4,6,7,9,12	14	18815065	7.4408459391450411e-07
0	straight	mask_12dd	0,2,3,4,6,7,9,12	4	18815065	2.125955982612869e-07
0	straight	mask_12de	1,2,3,4,6,7,9,12	104	18815065	5.5274855547934597e-06
0	straight	mask_12e7	0,1,2,5,6,7,9,12	2105	18815065	0.00011187843358500223
0	straight	mask_12eb	0,1,3,5,6,7,9,12	199	18815065	1.0576631013499023e-05
0	straight	mask_12ed	0,2,3,5,6,7,9,12	252	18815065	1.3393522690461075e-05
0	straight	mask_12ee	1,2,3,5,6,7,9,12	545	18815065	2.896615026310034e-05
0	straight	mask_12f3	0,1,4,5,6,7,9,12	915	18815065	4.8631243102269376e-05
0	straight	mask_12f5	0,2,4,5,6,7,9,12	250	18815065	1.3287224891330432e-05
0	straight	mask_12f6	1,2,4,5,6,7,9,12	758	18815065	4.0286865870513866e-05
0	straight	mask_12f9	0,3,4,5,6,7,9,12	20	18815065	1.0629779913064344e-06
0	straight	mask_12fa	1,3,4,5,6,7,9,12	87	18815065	4.62395426218299e-06
0	straight	mask_12fc	2,3,4,5,6,7,9,12	83	18815065	4.4113586639217035e-06
0	straight	mask_134f	0,1,2,3,6,8,9,12	130	18815065	6.9093569434918242e-06
